FrageNr.	ThNr.	Sachgebiet	Klasse	BildNr.	ZusFr.	Frage	AKZ1	Antwort1	AKZ2	Antwort2	AKZ3	Antwort3	AKZ4	Antwort4
174	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was sind Hilfsmittel für die kraftschlüssige Ladungssicherung?		Luftkissen		Paletten	X	Kantenschutzvorrichtungen		Anschlagleisten
175	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie wirkt sich eine niedrige Reibungszahl zwischen Ladefläche und Ladegut auf die Ladungssicherung aus?		Je höher die Reibungszahl, desto höher die notwendige Sicherungskraft	X	Je geringer die Reibungszahl, desto höher die notwendige Sicherungskraft		Gar nicht. Die notwendige Sicherungskraft hängt nur vom Gewicht der Ladung ab		Gar nicht. Die notwendige Sicherungskraft hängt nur vom der Größe der Ladefläche ab
176	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Womit ist eine über einen Meter über das Fahrzeug hinausragende Ladung zu kennzeichnen?		Mit einem roten Tuch	X	Mit einer weißen Tafel (25 cm x 40 cm) mit rotem Rand		Mit einer rot-weiß gestreiften Tafel (25 cm x 25 cm)		Mit einer gelb-roten Drehleuchte
177	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr nach vorne mindestens zu berücksichtigen ist?		0,25		1,00		0,50	X	0,80
178	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr nach hinten mindestens zu berücksichtigen ist?	X	0,50		1,00		0,25		0,80
179	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr zur Seite mindestens zu berücksichtigen ist?		0,80		1,00		0,25	X	0,50
180	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche der Angaben am Etikett eines Zurrgurtes sind für das Niederzurren von Bedeutung?	X	Die Vorspannkraft, die im Gurt für das Niederzurren genutzt werden kann (STF)		Die maximale Belastbarkeit des Zurrgurtes bei geradem Zug (LC)		Die Länge (L)		Das Erzeugerdatum
181	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was ist "Formschluss" bei der Ladungssicherung?		Verladen der Last mit Freilassen von Zwischenräumen	X	Bündiges, lückenloses Verladen des Ladeguts auf der Ladefläche oder z.B. Festsetzen der Ladung an Aufbauteilen durch Direktzurren		Festsetzen der Ladung auf der Ladefläche durch Niederzurren		Festsetzen der Ladung auf der Ladefläche durch Gewichtskraft
182	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie können Sie eine Ladung, die Staub entwickeln kann, ordnungsgemäß sichern?		Durch Befördern auf einer offenen Ladefläche	X	Durch Befördern in einem geschlossenen Behälter oder in einem geschlossenen Aufbau		Mit einem Gitternetz		Durch anfeuchten mit Wasser
183	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was ist "Kraftschluss" bei der Ladungssicherung?		Lückenloses Verladen der Last		Festsetzen der Ladung an Aufbauteilen durch Direktzurren	X	Festsetzen der Ladung auf der Ladefläche durch Niederzurren		Verladen der Last mit Freilassen von Zwischenräumen
184	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was bedeutet die Angabe "STF" auf dem Herstellerschild eines Zurrgurtes?	X	Die Vorspannkraft, die im Gurt für das Niederzurren genutzt werden kann		Die maximale Belastbarkeit des Zurrgurtes bei geradem Zug		Die Handkraft des Anwenders		Die maximale Belastbarkeit des Zurrgurtes bei einem Zurrwinkel von 45 Grad
185	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was bedeutet die Angabe "LC" auf dem Herstellerschild eines Zurrgurtes?		Die Vorspannkraft, die im Gurt für das Niederzurren genutzt werden kann	X	Die maximale Belastbarkeit des Zurrgurtes bei geradem Zug		Die Handkraft des Anwenders		Die maximale Belastbarkeit des Zurrgurtes bei einem Zurrwinkel von 45 Grad
186	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Bei den Angaben auf dem Kennzeichnungsanhänger einer Zurrkette ist keine Angabe der Spannkraft STF vorhanden. Was bedeutet das für Sie?		Die Zurrkette darf nur für das Niederzurren verwendet werden	X	Die Zurrkette darf nicht für das Niederzurren verwendet werden		Die Zurrkette darf für jede Art der Ladungssicherung verwendet werden		Die Zurrkette darf nur für das Direktzurren verwendet werden
187	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Darf bei Rundholztransporten das Holz quer zur Fahrtrichtung geladen werden?		Ja, immer	X	Grundsätzlich nein! Außer es erfolgt die Landungssicherung mit einem geeigneten, engmaschigen Netz		Nur dann, wenn der Transport im Rahmen einer Wirtschaftsfuhre erfolgt		Nur dann, wenn der Transport im Rahmen der Land- und Forstwirtschaft erfolgt
188	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie viel muss das Gewicht auf der bzw. den Antriebsachsen Ihres LKW´s betragen?		Mindestens 25 % des Eigengewichts		Mindestens 25 % des höchsten zulässigen Gesamtgewichts	X	Mindestens 25 % des tatsächlichen Gesamtgewichts		Höchstens 25 % des höchsten zulässigen Gesamtgewichts
189	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wo greift die Gewichtskraft an der Ladung an?	X	Im Schwerpunkt		Gleichmäßig entlang ihrer Auflagefläche		Am höchsten Punkt		Am niedrigsten Punkt
190	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Wie kann Ladung kraftschlüssig gesichert werden?		Durch die Verwendung von Spannlatten		Durch Diagonalzurren		Durch Anstellen der Ladung an die Stirn- bzw. Seitenwand	X	Durch Niederzurren
191	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Eine Ladung soll durch Niederzurren gesichert werden. Welche Angabe am Etikett des Zurrgurtes ist bei der Berechnung der Anzahl der erforderlichen Zurrgurte zu berücksichtigen?	X	Die maximale Vorspannkraft STF		Die maximale Zurrkraft LC		Die maximale Handkraft SHF		Die maximale Dehnung des Gurtbandes
192	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Eine Ladung soll durch Direktzurren gesichert werden. Welche Angabe am Etikett des Zurrgurtes ist bei der Berechnung der Anzahl der erforderlichen Zurrgurte zu berücksichtigen?		Der Zurrwinkel "Alpha"		Die maximale Vorspannkraft STF		Die maximale Handkraft SHF	X	Die maximale Zurrkraft LC
193	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welchen Einfluss hat der Zurrwinkel "Alpha" auf die wirksame Vorspannkraft beim Niederzurren?	X	Je flacher der Zurrwinkel Alpha ist, um so kleiner ist die wirksame Vorspannkraft		Je flacher der Zurrwinkel Alpha ist, um so größer ist die wirksame Vorspannkraft		Der Zurrwinkel Alpha hat keinen Einfluss auf die wirksame Vorspannkraft		Je flacher der Zurrwinkel Alpha ist, um so kleiner ist die wirksame maximale Handkraft SHF
194	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Sie transportieren Rundholz. Wie bzw. womit müssen Sie Ihre Ladung sichern?		Mit Staupolstern und Euro-Paletten		In Fahrtrichtung mit Rungen und zur Seite mit rutschhemmenden Unterlagen		Durch Diagonalzurren mit Zurrseilen und Spannlatten	X	Durch Niederzurren mit Spanngurten, Zurrketten oder Zurrseilen (die Verwendung von Rungen ist ratsam)
195	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was bedeutet die Angabe STF = 300 daN auf dem Etikett eines Zurrgurtes?	X	Die maximale Vorspannkraft der Ratsche beträgt 300 daN		Die maximale Kraft im Gurtband beträgt 300 daN		Der Ratschenhebel darf maximal mit 300 kg betätigt werden		Dass nur Ladegüter bis zu einem Gewicht von 300 kg gesichert werden dürfen
197	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Mit welcher Buchstabenfolge wird die maximale Vorspannkraft der Ratsche auf dem Etikett eines Zurrgurtes gekennzeichnet?		FMAX		LC		SHF	X	STF
198	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Sie wollen einen LKW mit einem höchsten zulässigen Gesamtgewicht von 10 t beladen. Dieser LKW hat Zurrpunkte, die nach EN 12640 zertifiziert sind. Welche höchste zulässige Belastung der Zurrpunkte ist dann garantiert?		Höchstens 500 daN	X	1.000 daN		Auf jeden Fall zumindest 2.000 daN		Auf jeden Fall zumindest 3.500 daN
199	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Sie wollen einen LKW mit einem höchsten zulässigen Gesamtgewicht von 6 t beladen. Dieser LKW hat Zurrpunkte, die nach EN 12640 zertifiziert sind. Welche höchste zulässige Belastung der Zurrpunkte ist dann garantiert?	X	800 daN		1.000 daN		Auf jeden Fall zumindest 2.000 daN		Auf jeden Fall zumindest 3.500 daN
200	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche Ladungen sind mit einer Plane abzudecken?	X	Schüttgut, wie z.B. Sand oder Erdreich, wenn es abgeweht werden kann		Stückgut, das in Kofferaufbauten befördert wird		Rundholz		Betonteile
201	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Was bedeutet die Angabe "SHF" auf dem Herstellerschild eines Zurrgurtes?		Die Vorspannkraft, die im Gurt für das Niederzurren genutzt werden kann		Die maximale Belastbarkeit des Zurrgurtes bei geradem Zug	X	Die Handkraft des Anwenders		Die maximale Belastbarkeit des Zurrgurtes bei einem Zurrwinkel von 45 Grad
202	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Sie wollen einen LKW mit einem höchsten zulässigen Gesamtgewicht von 18 t beladen. Dieser LKW hat Zurrpunkte, die nach EN 12640 zertifiziert sind. Welche höchste zulässige Belastung der Zurrpunkte ist dann garantiert?		800 daN		1.000 daN	X	Auf jeden Fall zumindest 2.000 daN		Auf jeden Fall zumindest 3.500 daN
203	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche Kräfte können während der Fahrt auf die Ladung nach vorne wirken?	X	Die Beschleunigungskraft beim Bremsen und eine zusätzliche Gewichtskraft beim Bergabfahren		Die Fliehkraft beim Kurvenfahren		Die Beschleunigungskraft beim Beschleunigen		Die Fliehkraft bei schnellen Ausweichmanövern
204	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche Kräfte können während der Fahrt auf die Ladung seitlich wirken?		Die Bremskraft beim Bremsen		Eine zusätzliche Gewichtskraft beim Bergabfahren		Die Beschleunigungskraft beim Beschleunigen	X	Die Fliehkraft beim Kurvenfahren und schnellen Ausweichmanövern
205	6	1f Ladungssicherung - LKW	C1.C1E.C.CE			Welche Kräfte können während der Fahrt auf die Ladung nach hinten wirken?		Die Bremskraft beim Bremsen	X	Eine zusätzliche Kraft beim Bergauffahren und die Beschleunigungskraft beim Beschleunigen		Die Fliehkraft beim Kurvenfahren		Die Fliehkraft bei schnellen Ausweichmanövern
221	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus im Linienverkehr. Was beachten Sie, wenn Sie im Ortsgebiet von einer Haltestelle abfahren wollen?	X	Ich überzeuge mich durch einen Blick in den Rückspiegel, dass ich ohne Gefährdung nachkommender Verkehrsteilnehmer abfahren kann		Ich überzeuge mich durch einen Blick in den Rückspiegel, dass ich ohne jede Behinderung nachkommender Verkehrsteilnehmer abfahren kann		Ich darf erst abfahren, wenn alle Fahrgäste sitzen		Ich darf erst abfahren, wenn im Rückspiegel keine Fahrzeuge zu sehen sind
222	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus im Linienverkehr und wollen im Ortsgebiet von einer Haltstelle abfahren. Dabei dürfen Sie nachkommende Verkehrsteilnehmer nicht gefährden. Wann liegt eine Gefährdung Nachkommender vor?	X	Wenn Nachkommende nicht mehr gefahrlos ausweichen oder anhalten können		Wenn Nachkommende zum Anhalten gezwungen werden		Wenn Nachkommende zum Abbremsen gezwungen werden		Wenn Nachkommende zum Blinken gezwungen werden
223	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Was haben Sie zu beachten, wenn Sie an der Haltestelle Kinder aus Ihrem Schulbus aussteigen lassen?	X	Ich muss die Alarmblinkanlage und zusätzliche Warnleuchten, welche in der Heckscheibe oder am Dach des Busses montiert sind, einschalten		Ich muss Warnzeichen mit der Hupe abgeben		Ich muss den rechten Blinker einschalten		Ich muss den linken Blinker einschalten
224	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Welche Vorteile bringt eine sorgfältige Routenplanung?		Es ergibt sich auf jeden Fall eine kürzere Fahrzeit	X	Lenkpausen können vorab so geplant werden, dass sie zum optimalen Zeitpunkt an einem geeigneten Ort gehalten werden können. Auch können Stoßzeiten und stauanfällige Straßen vermieden werden		Es ergibt sich auf jeden Fall eine längere Fahrzeit		Keine besonderen
225	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Welchen Sicherheitsabstand haben Sie als Lenker eines Omnibusses auf Freilandstraßen mindestens einzuhalten, wenn Sie hinter einem Fahrzeug mit größeren Längsabmessungen (z.B. LKW oder Omnibus) fahren?	X	50 m		200 m		1 Sekunde - Abstand		25 m
226	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Wie viele Personen dürfen Sie in einem Omnibus befördern, wenn Sie im Gelegenheitsverkehr fahren?		In jedem Fall höchstens 62 Personen	X	So viel wie Sitzplätze in der Zulassungsbescheinigung eingetragen sind		In jedem Fall höchstens 48 Personen		So viel wie Sitze mit Sicherheitsgurt im Fahrgastraum vorhanden sind
227	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Ihr Omnibus ist mit Stehplätzen ausgerüstet. Dürfen dort Fahrgäste befördert werden?	X	Ja, wenn im Linienverkehr gefahren wird		Ja, aber nur dann, wenn alle Sitzplätze besetzt sind		Nein, nie		Ja, aber nur dann, wenn das Fahrtziel nicht weiter als 25 km vom Ausgangspunkt der Fahrt entfernt ist (Kurzstreckenfahrt)
228	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie lenken einen Omnibus im Gelegenheitsverkehr. Was müssen Sie beachten, wenn Sie Kinder oder Jugendliche im Alter zwischen 3 und 14 Jahren befördern?		Die Kinder oder Jugendlichen dürfen nur in einem ihrem Alter entsprechenden Kindersitz befördert werden		Die Kinder oder Jugendlichen dürfen nur in einem ihrem Körpergewicht entsprechenden Kindersitz befördert werden	X	Die Kinder oder Jugendlichen müssen die Sicherheitsgurte verwenden, falls solche vorhanden sind		Die Kinder oder Jugendlichen müssen die Sicherheitsgurte nur dann verwenden, wenn sie in der ersten Sitzreihe befördert werden
229	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie wollen mit Ihrem Omnibus im Rahmen einer Ausflugsfahrt nach einer zweistündigen Mittagspause weiterfahren. Was haben Sie vor der Abfahrt zu tun?	X	Ich muss eine Bremsprobe durchführen		Ich muss am digitalen Kontrollgerät auf jeden Fall einen Nachtrag der Tätigkeiten durchführen		Ich muss am analogen Kontrollgerät auf jeden Fall einen Nachtrag der Tätigkeiten durchführen, wenn die Tachoscheibe während der Fahrtpause im Kontrollgerät war		Ich muss überprüfen, ob noch alle Verbandpäckchen vorhanden sind
230	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie wollen mit Ihrem Omnibus im Rahmen einer Ausflugsfahrt nach einer zweistündigen Mittagspause weiterfahren. Wie führen Sie die vorgeschriebene Bremsprobe durch?	X	Ich achte vor der Abfahrt am Manometer der Betriebsbremsanlage darauf, ob während der Fahrtpause ein sichtbarer Druckabfall eingetreten ist und mache bei der Abfahrt eine gefühlvolle Betriebsbremsung		Ich beschleunige auf etwa 50 km/h und mache eine Vollbremsung. Der Omnibus muss innerhalb von 10 m zum Stillstand kommen		Ich beschleunige auf etwa 20 km/h und mache eine Vollbremsung. Der Omnibus muss innerhalb von 3 m zum Stillstand kommen		Ich beschleunige auf etwa 10 km/h und mache eine Vollbremsung. Der Omnibus muss innerhalb von 5 m zum Stillstand kommen
231	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Sie sollen mit Ihrem Omnibus Angehörige eines Fußballvereines zu einem Fußballspiel befördern. Beim Einsteigen der Fahrgäste bemerken Sie, dass einzelne Fahrgäste pyrotechnische Gegenstände mit sich führen. Wie sollten Sie sich verhalten?	X	Ich fordere diese Fahrgäste höflich auf, diese Gegenstände gesichert im Gepäckraum des Omnibusses unterzubringen		Ich fordere diese Fahrgäste höflich auf, diese Gegenstände in den Ablagen über den Sitzen des Omnibusses unterzubringen		Ich verlange von diesen Fahrgästen, sich mit diesen Gegenständen sofort aus dem Omnibus zu entfernen		Ich ersuche diese Fahrgäste höflich, sich mit diesen Gegenständen sofort aus dem Omnibus zu entfernen
232	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Ein Fahrgast möchte bei der Fahrt im Omnibus unbedingt seinen Hund ohne Maulkorb lassen. Andere Fahrgäste beschweren sich darüber. Wie sollten Sie sich verhalten?	X	Ich weise den Fahrgast höflich darauf hin, dass Hunde ohne Maulkorb (ausgenommen Assistenzhunde) von der Fahrt ausgeschlossen werden können, und zeige dem Fahrgast den entsprechenden Passus in den Betriebs- und Beförderungsbedingungen der Betriebsordnung		Ich weise den Fahrgast darauf hin, dass er den Hund ohne Maulkorb nur mitführen darf, wenn er den Hund in der letzten Sitzreihe anleint		Ich weise den Fahrgast höflich darauf hin, dass er den Hund ohne Maulkorb nur mitführen darf, wenn er mit dem Hund alleine in einer Sitzreihe sitzt		Ich weise den Fahrgast höflich darauf hin, dass er den Hund ohne Maulkorb nur mitführen darf, wenn der Hund am Boden auf einer eigenen Decke liegt
233	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Ein Fahrgast möchte bei der Fahrt im Omnibus unbedingt seinen Hund ohne Maulkorb lassen. Wie können Sie dem Fahrgast den entsprechenden Passus in den Betriebs- und Beförderungsbedingungen der Betriebsordnung zeigen, der das verbietet?	X	Ich bin verpflichtet, einen Abdruck dieser Verordnung mitzuführen und auf Verlangen Fahrgästen vorzulegen		Es genügt, wenn der Fahrgast die Verordnung am Firmensitz einsehen kann		Die Verordnung muss bei jeder öffentlichen Haltestelle per WLAN heruntergeladen werden können		Die Verordnung muss bei jeder öffentlichen Haltestelle als Ausdruck angebracht sein
234	7	1g Sicherheit und Komfort der Fahrgäste - BUS	D1.D1E.D.DE			Welche Einrichtungen eines Omnibusses müssen besonders sauber gehalten werden, um die Übertragung von Krankheitserregern zwischen den Fahrgästen möglichst zu verhindern?	X	Die Griffstangen bei den Ein- und Ausstiegen sowie die Bord-Toilette		Die Abdeckungen des Gepäckraumes		Das Lenkrad		Der Bodenbelag im Bereich der Ein- und Ausstiege
251	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Warum muss die Ladung in einem Omnibus gesichert werden?	X	Damit Fahrer, Beifahrer, Fahrgäste und andere Verkehrsteilnehmer nicht gefährdet werden und die Ladung und der Omnibus nicht beschädigt werden		Damit die Ladung bei einem Unfall auf jeden Fall im Omnibus bleibt		Damit Fahrgäste beim Aussteigen ihr Gepäck möglichst rasch finden können		Damit Lenkerinnen und Lenker beim Aussteigen das Gepäck der jeweiligen Fahrgäste möglichst rasch finden können
252	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			In welchem Fall muss die Ladung durch die Ladungssicherung sicher im Gepäckraum bzw. Gepäckfächern Ihres Omnibusses gehalten werden?	X	Bei scharfen Ausweichmanövern sowie Notbremsungen		Beim Abkommen von der Fahrbahn		Bei Auffahrunfällen		Beim Entnehmen durch Fahrgäste am Ende einer Fahrt 
253	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr nach vorne mindestens zu berücksichtigen ist?	X	0,80		0,50		1,00		0,25
254	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr zur Seite mindestens zu berücksichtigen ist?		0,80	X	0,50		1,00		0,25
255	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Wie groß ist der Beschleunigungsbeiwert, der bei der Ladungssicherung im Straßenverkehr nach hinten mindestens zu berücksichtigen ist?		0,80	X	0,50		1,00		0,25
256	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Welche Kräfte können während der Fahrt auf die Ladung nach vorne wirken?	X	Eine zusätzliche Gewichtskraft beim Bergabfahren und die Beschleunigungskraft beim Bremsen		Die Fliehkraft beim Kurvenfahren		Die Beschleunigungskraft beim Beschleunigen		Die Fliehkraft bei schnellen Ausweichmanövern
257	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Welche Kräfte können während der Fahrt auf die Ladung seitlich wirken?		Die Bremskraft beim Bremsen		Eine zusätzliche Gewichtskraft beim Bergabfahren		Die Beschleunigungskraft beim Beschleunigen	X	Die Fliehkraft beim Kurvenfahren und schnellen Ausweichmanövern
258	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Welche Kräfte können während der Fahrt auf die Ladung nach hinten wirken?		Die Bremskraft beim Bremsen	X	Eine zusätzliche Kraft beim Bergauffahren und die Beschleunigungskraft beim Beschleunigen		Die Fliehkraft beim Kurvenfahren		Die Fliehkraft bei schnellen Ausweichmanövern
260	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Sie sollen die Koffer einer Reisegruppe in Ihrem Omnibus verstauen. Was beachten Sie dabei?	X	Ich verstaue die Koffer möglichst lückenlos im Gepäckraum des Omnibusses und achte darauf, dass die Koffer möglichst formschlüssig zur Stirnwand, den Teilungsstreben und den Seitenwänden des Gepäckraumes verladen sind		Wenn der Gepäckraum voll geladen ist, ersuche ich die Fahrgäste, ihre Koffer auf den Schoß zu nehmen		Wenn der Gepäckraum voll geladen ist, ersuche ich die Fahrgäste, die Koffer im Mittelgang des Fahrgastraumes aufzustellen		Wenn der Gepäckraum voll geladen ist, ersuche ich die Fahrgäste, ihre Koffer auf freien Sitzen möglichst hoch gestapelt unterzubringen
261	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Sie bemerken vor der Abfahrt, dass Fahrgäste im Mittelgang Ihres Omnibusses Getränkekisten aufgestellt haben, um während der Fahrt Getränke zu konsumieren. Wie sollten Sie sich verhalten?		Ich sorge dafür, dass die Getränkekisten im Mittelgang mit Zurrgurten gesichert werden		Ich sorge dafür, dass die Getränkekisten im Mittelgang mit rutschhemmenden Unterlagen gesichert werden	X	Ich sorge dafür, dass die Getränkekisten im Gepäckraum des Omnibusses gesichert verladen werden. Für den Transport der Getränkegebinde biete ich die Benutzung der Kühlboxen im Fahrgastraum an		Ich bestimme einen Fahrgast, der jeweils eine Kiste während der Fahrt festhalten muss
262	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Warum dürfen während der Fahrt im Mittelgang Ihres Omnibusses keine Gegenstände wie Getränkekisten, Koffer und dergleichen stehen?	X	Weil der Mittelgang im Gefahrenfall als Fluchtweg dient		Weil eine ausreichende Ladungssicherung im Mittelgang unmöglich herzustellen ist		Weil der Boden im Mittelgang keine ausreichende Festigkeit aufweist		Weil der Boden im Mittelgang eine zu hohe Gleitzahl aufweist
263	8	1h Ladungssicherung - BUS	D1.D1E.D.DE			Die Gepäckablagen über den Sitzen im Fahrgastraum Ihres Omnibusses weisen Verschlussklappen auf. Was beachten Sie dabei?	X	Ich überzeuge mich vor der Abfahrt, dass alle Verschlussklappen geschlossen und verriegelt sind		Die Verschlussklappen können während der Fahrt geöffnet bleiben, wenn die Fahrgäste das wünschen		Einzelne Verschlussklappen können während der Fahrt geöffnet bleiben, wenn das in der Gepäckablage verstaute Handgepäck zu viel Platz benötigt		Die Verschlussklappen können während der Fahrt geöffnet bleiben, wenn die Fahrt nicht nur innerhalb eines Ortsgebietes durchgeführt wird
281	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Daten werden auf der Fahrerkarte gespeichert?	X	Daten zu den gefahrenen Fahrzeugen sowie Fahreraktivitäten		Daten zum Kraftstoffverbrauch		Daten zur Motordrehzahl		Daten zur Ausnutzung der Motorleistung
282	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			In welchen Fällen müssen Sie einen Ausdruck aus dem digitalen Kontrollgerät anfertigen?		Immer nach einem Verkehrsunfall	X	Auf Verlangen eines Kontrollorgans sowie bei einem Defekt der Fahrerkarte		Immer nachdem eine Fahrt mit dem "Out"-Modus erfolgte		Immer nachdem eine Fahrt mit einem Fährschiff erfolgte
283	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			In welchem Zeitraum müssen die Daten von der Fahrerkarte ausgelesen und im Unternehmen gespeichert werden?		Auf jeden Fall am Ende der täglichen Ruhezeit		Spätestens nach 28 Tagen, an denen Tätigkeiten aufgezeichnet wurden		Spätestens nach 90 Tagen, an denen Tätigkeiten aufgezeichnet wurden	X	Auf jeden Fall spätestens nach 56 Kalendertagen
284	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			In welcher Weise können Sie nach einem Verkehrsunfall die im digitalen Kontrollgerät gesicherten Daten zur Beweissicherung heranziehen?		Durch Eingabe des Unfallzeitpunkts in das Menü des Kontrollgerätes		Durch Download von der Fahrerkarte innerhalb der nächsten 24 Lenkstunden		Durch einen handschriftlichen Vermerk auf einem Ausdruck	X	Durch Download aus dem Massenspeicher innerhalb der nächsten 24 Lenkstunden
285	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang werden die detaillierten Geschwindigkeitsdaten im Massenspeicher des Kontrollgerätes gespeichert?	X	24 Lenkstunden		28 Tage		90 Tage		1 Jahr
286	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie nehmen ein Fahrzeug mit digitalem Kontrollgerät in Betrieb. Dabei wird die Uhrzeit mit dem Zusatz "UTC" angezeigt. Was bedeutet "UTC"?	X	Es wird in einer ortsunabhängigen Zeitzone ("Weltzeit") aufgezeichnet		Das Kontrollgerät läuft in einem unkoordinierten Modus		Das Kontrollgerät muss sofort neu kalibriert werden		Die Daten müssen sofort aus dem Datenspeicher des Kontrollgerätes ausgelesen werden
287	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Welche Ortszeit in Österreich entspricht an einem Dezembertag 9:30 Uhr UTC-Zeit?		10:00 Uhr		11:30 Uhr		8:30 Uhr	X	10:30 Uhr
288	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Wie lang ist eine Fahrerkarte ab dem Ausstellungszeitpunkt gültig?	X	5 Jahre		1 Jahr		10 Jahre		15 Jahre
289	9	2a Sozialrechtliche Rahmenbedingungen	C1.C1E.C.CE / D1.D1E.D.DE			Sie wollen ein Fahrzeug mit digitalem Kontrollgerät lenken. Wie sollten Sie sich vor Fahrtbeginn verhalten, wenn Ihre Fahrerkarte defekt geworden oder verloren gegangen ist?	X	Ich fertige einen Ausdruck aus dem Kontrollgerät an. Dieser Ausdruck ist mit meinem Namen und der Nummer des Führerscheins oder Nummer der Fahrerkarte sowie meiner Unterschrift zu versehen. Die jeweils anfallenden Tätigkeiten, die keine Lenktätigkeiten sind, vermerke ich		Ich führe handschriftliche Aufzeichnungen über die Dauer der Lenkzeiten		Ich fahre als Ersatz mit der gesteckten Unternehmenskarte		Ich fahre als Ersatz mit der gesteckten Fahrerkarte eines Kollegen, der sich gerade im Urlaub befindet
